"name","longitude","latitude"
"Parc Bit","2.605","39.652"
"CNR-ISMAR Head office","13.76","45.647"
"Isole Tremiti","15.502","42.119"
"Muros buoy","-9.024","42.756"
"Port Camargue","4.126","43.52"
"Arachon B13","-1.233","44.633"
"Agnas","-1.178","45.853"
"Port Ferreol","6.718","43.359"
"Sevilla","-6.475","36.738"
"Bari","16.866","41.14"
"Mobims Cala Millor","3.383","39.596"
"Barcelona","2.202","41.321"
"Ceuta","-5.33","35.903"
"Cap Ferret","-1.447","44.651"
"Anzio","12.635","41.447"
"Palermo","13.371","38.121"
"Alicante","-0.41","38.25"
"Galfi","1.22","38.952"
"C02","11.5","37.284"
"URT","-1.3","43.503"
"Sausset Les Pins","5.113","43.023"
"COR","9.683","43.025"
"Bilbao","-3.083","43.379"
"Mobims Son Bou","4.077","39.898"
"Gaeta","13.59","41.21"
"Tarifa","-5.59","36.001"
"Taranto","17.224","40.476"
"Algeciras","-5.416","36.066"
"Saint Jean de Luz","-1.677","43.403"
"Gijon","-5.663","43.616"
"Cabo De Palos","-0.638","37.654"
"Anglet","-1.614","43.533"
"Cadiz-coast-buoy","-6.33","36.5"
"Arachon","-1.139","44.669"
"La Cotiniere","-1.328","45.914"
"Melilla","-2.943","35.324"
"Pasajes","-1.926","43.338"
"Tarragona","1.191","41.07"
"Palamos","3.187","41.83"
"Matxitxako","-2.688","43.624"
"Capdepera","3.485","39.651"
"Royan","-1.028","45.621"
"Ponza","12.966","40.895"
"Cap Corse","9.275","43.061"
"Malaga","-4.419","36.687"
"Cabo De Gata","-2.203","36.713"
"La Coruna","-8.383","43.413"
"Valencia","-0.28","39.46"
"Gran Canaria","-15.8","28.19"
"Tenerife","-16.6","28"
"Hadera","34.86","32.47"
"Portomaso","14.5","35.92"
"MedGOOS3","32.13","33.7"
"Cabrera","2.97","39.22"
"Cabo Begur","3.64","41.9"
"Tasucu","33.84","36.28"
"Girne","33.33","35.34"
"Hadera","34.86","32.47"
"Capo Mele","8.18","43.93"
"Molo Sartorio","13.754","45.644"
"PALOMA","13.57","45.62"
"Zarja","3.67","45.6"
"Zora","13.54","45.6"
"Ciutadella","3.83","40"
